Num. Data,Num. Parameters (Num Features),repeat_idx,Train MSE,Test MSE
15,11,7,0.17984880934191996,2.104287369821578
15,11,8,0.0011454787132783332,11.83112167615473
15,11,9,0.05580015677791697,116.60958641957825
15,11,10,0.04408905691682394,14.620993088339386
15,11,11,0.02234324994714023,723.1518819283285
15,11,12,0.07597097694929528,15.461185884523111
15,11,13,0.20084281922263983,2.8289903322649352
15,11,14,0.21588967788085742,861.2237452919909
15,11,15,0.09429281968325505,595.4652987393846
15,11,16,0.19980077244004932,436.91299902191633
15,11,17,0.12933496024184638,2.6087138098288074
15,11,18,0.005466286981793816,15775.012567136113
15,11,19,0.033839284904373684,50.16376807180123
15,11,20,0.21761368867752132,5.237560417855168
15,11,21,0.003610948841749652,22.230440137772522
15,11,22,0.10972739819724373,4.099946428098705
15,11,23,0.04926015260256298,173.35863345026524
15,11,24,0.1357380030253079,1727357.610709238
15,11,25,0.023127338265144477,1434419.5872745619
15,11,26,0.3929721112318189,68.3841240770324
15,11,27,0.1573478566814159,1.2382466505986232
15,11,28,0.01354620161069193,97.01188664908685
15,11,29,0.3460547458188465,1.49406478485803
15,12,0,0.1555191837813778,272.8315990947608
15,12,1,0.12289428196484643,0.9574956427207799
15,12,2,0.0010359131640214085,235.70926329556607
15,12,3,1.885816061687883e-05,73054443665.17859
15,12,4,0.032757731296344655,3688.731880525766
15,12,5,0.0005633064253592853,155150.11958614487
15,12,6,0.003222770956495537,2115.8024936423994
15,12,7,0.0006628045460043642,14027759.659562396
15,12,8,0.007533551425978608,26.42430478841452
15,12,9,0.0024765438613202195,774.6866996761994
15,12,10,0.08480620834393209,2059.5310603297426
15,12,11,0.024517966118357222,7.302330348763547
15,12,12,0.19190584976312006,0.7186454012474494
15,12,13,0.03635687304907754,4030029.7506409925
15,12,14,0.04807170066114679,35.366477697796476
15,12,15,0.018246416499382058,57.39950862022341
15,12,16,0.045334894033192824,44.48919967075968
15,12,17,0.0023474468683849854,19.959295717403855
15,12,18,0.026387655372803888,3348.054447715433
15,12,19,0.0033774234356421027,11089.219730376768
15,12,20,0.012174421249275718,669.741324453096
15,12,21,0.026242568753544457,3130.2117962872626
15,12,22,0.02164548608601275,300680.8088688275
15,12,23,0.0008233993517276613,94942.36862353946
15,12,24,0.03686075378336385,120.80942786370134
15,12,25,0.0066158512967526995,778.9760233913672
15,12,26,0.03373430831490534,148.66365978692983
15,12,27,0.10902068074919367,14301.907067876844
15,12,28,0.011196459871319474,6418921.759175398
15,12,29,0.04014833612584802,22.71061189152083
15,13,0,0.00018549527606957918,34755.94495845728
15,13,1,0.044351104488369604,585.9833780216891
15,13,2,0.005301883609787361,38874.96828419386
15,13,3,0.008363396473909762,669288.9167949778
15,13,4,0.012370002611730857,10093.798580628427
15,13,5,0.007192753064234082,7855.082773392867
15,13,6,0.0017476775458914783,26954.88300834863
15,13,7,0.002722372150447654,9925.942770384609
15,13,8,0.00023027973152390418,1829195.1782484667
15,13,9,0.014035557926312897,221285.08066724846
15,13,10,0.0008343105000354018,15218.786172830101
15,13,11,0.0010766934904059148,122.76453282440538
15,13,12,0.0029886448186616185,586.7363224448252
15,13,13,0.015718974911749603,151653.16453558212
15,13,14,0.01932793274917545,9.082817284249908
15,13,15,0.00038970318768377356,2710640.293490564
15,13,16,0.012316347375891167,38.62661007647526
15,13,17,8.92195098404954e-05,27134294.313969757
15,13,18,1.769350257684623e-07,1556642319.5603673
15,13,19,0.0723248455513065,7.449899478424086
15,13,20,0.012903934548537393,2352.760208550675
15,13,21,0.012808339534369896,337975.60057791154
15,13,22,0.032046844111791144,2.0910574717465717
15,13,23,0.0021160184943147834,24.52609689271355
15,13,24,0.02586179858359761,3783.101067773185
15,13,25,6.15686553239306e-05,6737.940932667127
15,13,26,0.004164327918163706,25079.413729531843
15,13,27,0.009333469351595016,3482244.872848441
15,13,28,0.054939931895472395,2958199.1154412604
15,13,29,0.0003794617977401015,18019569.84830212
15,14,0,0.05811977970373638,9388.472000448983
15,14,1,0.00014413264910311742,7999.8683754487165
15,14,2,0.0038188180441860193,26796802.9497415
15,14,3,6.21713596126392e-09,202.84326457536153
15,14,4,2.1699416322861345e-06,2915893.430733639
15,14,5,0.00021083153954591053,22468703.110791992
15,14,6,1.4961672523293575e-10,15349131.77519929
15,14,7,0.0007603415297849531,12332.117395720734
15,14,8,4.000115677879339e-05,4058.731695662175
15,14,9,0.00017956797118578554,852101.8134399089
15,14,10,5.4117719228340734e-05,805.6002965785419
15,14,11,0.000557842598792595,100280.80642182715
15,14,12,7.983750780878815e-07,391297544.5731632
15,14,13,0.00022314938221210974,36545.04230331564
15,14,14,6.645287359289079e-06,3308.2742519751873
15,14,15,1.2031790082409531e-05,141606074.35803577
15,14,16,3.411964217679964e-06,7620.856558264613
15,14,17,1.5730442108788963e-06,718.5765032215422
15,14,18,0.0005059096054211289,492.98704421145914
15,14,19,7.166882932679611e-05,794014.707781196
15,14,20,3.225539338235518e-11,253315547043.14026
15,14,21,0.001588441703199779,853536.2707701196
15,14,22,5.9462148562618505e-06,586.8938951689477
15,14,23,0.0004868501291704957,248910.38689379068
15,14,24,2.5846941050338237e-05,223700.6816927239
15,14,25,0.04945830111903304,20.62908192914721
15,14,26,1.614417976028343e-05,1711115079.7598588
15,14,27,0.0008049229241546501,154365033.69381794
15,14,28,2.9156596722726123e-05,32791380.73290607
15,14,29,8.84573042055118e-06,524170639.1349189
15,15,0,1.3856179793609232e-16,7257929940.275656
15,15,1,1.1034482571893514e-23,210795.31269611692
15,15,2,5.438264569084024e-20,822279691.3149374
15,15,3,1.7640946631925632e-21,7964875156.983892
15,15,4,7.982310853130893e-23,143218545.44087744
15,15,5,2.894548471825092e-20,548039868.9723543
15,15,6,1.483220304582734e-25,1892682.4681350393
15,15,7,2.0735880401102807e-23,63772.3846717848
15,15,8,1.0977843612242495e-24,5568255.18341155
15,15,9,4.00847186524766e-22,103407423.07133041
15,15,10,2.191512485133784e-25,1638.3822225140595
15,15,11,6.6512093132489286e-21,1073847421.917242
15,15,12,5.893966026221584e-22,1779684522.3807614
15,15,13,2.032251959808836e-27,26819.39118720928
15,15,14,1.2914209578984756e-20,68856235183.71773
15,15,15,8.190227623978103e-25,2418810.242433946
15,15,16,3.914092386030259e-27,50.14943075058255
15,15,17,3.881155357260607e-21,13768457274.911762
15,15,18,4.404173414085741e-23,72187341.58727288
15,15,19,2.500778251919403e-25,140191.58810506162
15,15,20,1.3439488125690454e-21,215109662.28550676
15,15,21,4.0051547592048842e-22,10500741.85879117
15,15,22,2.1897774340163082e-24,1707937.021206404
15,15,23,4.308232963737755e-21,111173.10508443201
15,15,24,3.79632630711378e-24,3695.8496270699698
15,15,25,1.5947021055551858e-21,7888290.439165296
15,15,26,1.0455534704408092e-28,230.90091647857318
15,15,27,1.4678708257609172e-25,843868.83998403
15,15,28,7.949593834467481e-24,2357.7515753820044
15,15,29,2.159411362923296e-20,247558199.72126573
15,16,0,2.2602787187284134e-25,40824.331488097
15,16,1,3.152444305983988e-27,15572.386968520597
15,16,2,4.9032067824637775e-26,85897.85183933807
15,16,3,1.514358201690365e-28,48.056210974578995
15,16,4,2.487622538267479e-25,2799867.68124089
15,16,5,1.068824160970516e-27,6209.126986599753
15,16,6,2.7924626284608798e-27,17822.260213370842
15,16,7,1.3093423994208295e-20,114224053.39068188
15,16,8,6.343756446152304e-29,267.9085271172527
15,16,9,1.4708506380926492e-18,1799457583.7370741
15,16,10,6.795167914459875e-24,30321478.773585834
15,16,11,6.607350208981357e-27,42572.85897726361
15,16,12,1.8931797265228978e-25,1607.3207019697843
15,16,13,1.6173705089986258e-17,25463358124.423195
15,16,14,1.111731099534541e-22,40177195.02278173
15,16,15,5.7981276533744365e-30,8.707013655373832
15,16,16,4.4823242421378127e-23,916626.7702718673
15,16,17,1.9209910875835238e-25,853744.9665828054
15,16,18,6.22335860481822e-28,818.5028928759839
15,16,19,3.585518591636676e-23,14384776.55880929
15,16,20,2.9200307840151142e-28,1348.5929715024017
15,16,21,3.8263300237509914e-19,21435994338.345684
15,16,22,4.577513748659878e-24,349632.3596798861
15,16,23,3.4588245483633436e-21,400457.0383084882
15,16,24,2.0457148425090095e-21,27519046.64533036
15,16,25,1.2046257928644289e-25,302535.54806536814
15,16,26,5.716817459029001e-29,8.756703771012926
15,16,27,1.2022486714601101e-27,26.588239131819034
15,16,28,2.6559632157135134e-25,1218.257665776424
15,16,29,5.743422718983067e-23,8365.716959536194
15,17,0,3.135419085275605e-29,8.19689712798158
15,17,1,7.490657758920029e-29,263.1228568134554
15,17,2,2.7339364575020357e-19,116491572.92426276
15,17,3,1.0667340775972022e-29,42.72969895941049
15,17,4,5.411748512377843e-27,925.0509202965965
15,17,5,2.9618381008758943e-27,6001.214647671778
15,17,6,1.0559601686976408e-28,4.063869892385706
15,17,7,2.348111105680731e-21,930457.2809473957
15,17,8,2.173412024414007e-25,229694.63619271867
15,17,9,4.234814880404341e-28,4049.745776599444
15,17,10,6.819743612141127e-30,4.945801564185529
